City,Price_per_thousand,SQFT,SQFT_per_thousand
WPB,450,2049,2.049
WPB,413,1298,1.298
WPB,395,1737,1.737
RB,380,1746,1.746
WPB,305,1665,1.665
RB,210,1277,1.277
NPB,485,2256,2.256
RPB,2700,3557,3.557
RPB,629,2618,2.618
W,394,1199,1.199
WPB,765,2954,2.954
PBG,455,1945,1.945
WPB,500,2183,2.183
WPB,300,1202,1.202
WPB,300,756,0.756
PBG,268,1022,1.022
W,80,1200,1.2
PBG,615,2335,2.335
WPB,675,2160,2.16
WPB,399,1488,1.488
PBG,385,1092,1.092
PBG,1400,3853,3.853
NPB,1000,1604,1.604
NPB,310,1200,1.2
RPB,650,2970,2.97
W,465,1528,1.528
W,517,1678,1.678
W,889,2793,2.793
WPB,300,1202,1.202
JPTR,610,1716,1.716
LW,677,2901,2.901
WPB,300,756,0.756
BB,175,704,0.704
BB,399,1553,1.553
JPTR,1880,2089,2.089
WPB,268,1022,1.022
PBG,80,1200,1.2
BB,255,813,0.813
LW,1100,2110,2.11
LW,275,827,0.827
WPB,460,770,0.77
WPB,280,280,0.28
WPB,450,2049,2.049
WPB,413,1298,1.298
WPB,395,1737,1.737
RB,380,1746,1.746
WPB,305,1665,1.665
WPB,210,1277,1.277
WPB,166,768,0.768
LW,1400,3334,3.334
